description,genre
{{Plot|dateAct 1Act 2Act 3Act 4Act 5 Finally negotiations are made for Henry to be named king of both England and France. He has a brief romantic interlude with Catherine while the French and English royal delegations negotiate the Treaty of Troyes. The Greek chorus informs the audience that an English-French union lasted as long as Henry V lived and was only lost under his successor Henry VI.,Action
"Professor Kurian Fernandez , a convict escapes from jail, along with Raghu , his cell mate. After a failed attempt to chase and nab the duo, the officials draws out several plans to capture both. Police authorities strongly feel that Fernandez will land up in Banglore and may try to meet up with his only daughter. Unnikrishnan and K.Purushothaman Nair , two inspectors from Kerala police are sent to Bangalore to follow the activities of Gadha , daughter of Fernandez. Upon reaching Bangalore, Unnikrishnan meets Peter ([[Mukesh , his college mate, who is also now an inspector with Karnataka police. Unnikrishnan and Peter makes up a team and sidelines Purushothaman Nair, who struggles hard to cope up with Kannada language. The police team stays at a room just opposite to where Gadha stays as a paying guests. Gadha, working at an advertisement agency as a copy writer is staying along...",Action
"The film is a collision of three separate stories—the journey of a Ju/'hoansi Bushman to the end of the earth to get rid of a Coca-Cola bottle, the romance between a bumbling scientist and a schoolteacher, and a band of guerrillas on the run. Xi and his tribe of San/Bushmen relatives are living well off the land in the Kalahari Desert. They are happy because the gods have provided plenty of everything, and no one in the tribe has unfulfilled wants. One day, a glass Coca-Cola bottle is thrown out of an aeroplane and falls to earth unbroken. Initially, this strange artifact seems to be another boon from the gods—-Xi's people find many uses for it. But unlike anything that they have had before, there is only one bottle to go around. This exposes the tribe to a hitherto unknown phenomenon, property, and they soon find themselves experiencing things they...",Action
"After coming off a successful comedy tour, Dolemite throws a get-together at his mansion, there he announces that he is to offer his mansion to the person that started a drive for a new boys' home, then is rudely interrupted by the local sheriff and his deputies because they're a group of black people having a party, thus causing trouble. Turns out the Sheriff's wife is offering Dolemite money for sexual services. When the sheriff catches them red handed, he promptly shoots his wife. Dolemite and his friends kidnap a young man and his car and decide head to California where he is to meet Queen Bee, only to find out that the local mob man, Joe Cavaletti kidnapped two of her girls and forced her to close down her joint and work for him. Dolemite must rescue Queen Bee, her girls and teach the grease balls a lesson all...",Action
"After running away from a shoot out, the outlaw Jaime falls to the edge of a river, where he is helped by two beautiful young women. He becomes involved romantically with Dorinha, daughter of a farmer and, because of his love for her, kills her father. When escaping the arrest, Jaime has to face Xavier, a bloodthirsty outlaw who plans to avenge the father of Dorinha. Marins appears as Gregorio, a gunman of the flock of Xavier. Marins also wrote the lyrics of the ten songs of the soundtrack. In 1964, the film was relaunched with an extra dose of sex, having included a new scenes with about ten minutes in the brothel.",Action
"Best friends Clay Clayburn and Will Denning graduate from West Point and visit their friend and fellow graduate Braxton at his Georgia plantation in 1861. Clay had once loved Braxton's wife Kathy and still does. When war is declared they soon find themselves fighting on opposite sides of the Civil War. By 1864, Clay now an Field Artillery Major in the Confederacy is renown for accepting but surviving suicide missions. He is given another. To delay General Sherman's March to the Sea, a local guide can lead a party of men and their disassembled cannon inside caves that lead to the top of Devil's Mountain where a battery of guns can destroy the railroad and the Union troop and supply trains that travel it, buying time for the Confederacy. Devil's Mountain is coincidentally near Braxton and Kathy's old plantation where Kathy remains with her uncle. Kathy agrees to monitor the...",Action
"An officer in the violent crimes division, Dae-ro is a hero in his daughter Hyun-ji's eyes, but in fact he's a corrupt cop, interested only in bribe money and pretty women. He is totally selfish and takes great pains to keep himself out of harm's way, avoiding the danger inherent in his job. One day, while in pursuit of a suspect, Dae-ro faints and is taken to the hospital. There he is told that he has a brain tumor and has about three months to live at most. To provide for his daughter's financial security, Dae-ro plots his own death that will appear accidental so that she will collect a sizable insurance premium.",Action
"{{Expand section}} In late October 1943, a battalion of U.S. Marines have landed on Choiseul Island to create a diversion for the impending Allied invasion of Japanese held Bougainville Island. Four of them (Frank Lovejoy, Tony Curtis, Skip Homeier and [[Alan Wells have been selected to do a reconnaissance patrol and find a French planter and his daughter ([[Mary Murphy who have sent a message to the Allies. The patrol must confirm that the message is authentic, and that the planter is still alive, who can give the Marines valuable information needed for a successful amphibious landing by the Allied forces.",Action
"{{Plot}} Truck driver Martin ""Rubber Duck"" Penwald is driving through the desert in Arizona, when a woman in a Jaguar E-Type passes by. They're driving side by side for a while when a sheriff's deputy pulls over Rubber Duck, who in turn sets the deputy upon the woman who was ""enticing him"". Proceeding on his way, Rubber Duck runs into fellow truck drivers Pig Pen/Love Machine and Spider Mike, when another ""trucker"" informs them over the C.B. that they are okay to increase their speed. The ""trucker"" also insults Pig Pen by calling his Mack truck a ""pussy."" As they come around a sharp turn at 75 mph, they are caught by the ""trucker,"" corrupt county Sheriff ""Dirty Lyle"" Wallace. After being extorted by Lyle for $50 dollars each and eventually $70 when both Pig Pen and Mike insult Wallace, the Duck informs Wallace that The Teamsters are organizing the...",Action
"A redneck officer is put in charge of a squad of all black troops charged with the mission of securing an important hydro dam in Nazi Germany. Their failure would delay the Allied advance into Germany, thus prolonging the war. These African-Americans had been relegated to cleaning latrines and therefore have little real military training, but Captain Beau Carter has no choice. He leads the rag-tag unit to secure the dam and the men reveal themselves as heroic.",Action
"In 1941 Lt. Commander Jeffords, an American serving with the Royal Navy is assigned to Valletta, Malta to command a flotilla of Motor Torpedo Boats for a top secret mission. Jeffords is granted permission to take his friend Chief Petty Officer Yacov, a Palestinian with him. Through scrounging spare parts from sunken craft, the battered flotilla is able to piece together three seaworthy craft. Jeffords' mission is to destroy a former Italian submarine base in Augusta, Sicily that now contains the German's Fritz X glide bombs that have been taking a heavy toll of British shipping. As the bombs are stored in former submarine pens tunnelled inside a mountain, an aerial attack is unfeasibile. It is up to Jeffords to determine how he will accomplish his mission. Off duty Jeffords meets a woman bathing in the nude who turns out to be the wife of his commanding officer. Jeffords turns...",Action
"In this film, which is based loosely on the ancient Chinese novel Journey to the West, South Boston teenager Jason Tripitikas is a fan of martial arts films and he awakens from a dream of a battle between the Monkey King, played by Jet Li and celestial soldiers in the clouds. He visits a pawn shop in Chinatown to buy Wuxia DVDs and discovers a golden staff. On his way home, Jason is harassed by some hooligans, who attempt to use him to help them rob the shop-owner Hop. Hop tries to fight the thieves with the staff, but is shot and wounded. He tells Jason to deliver the staff to its rightful owner and Jason flees with the staff. He is cornered on the rooftop by the hooligans and almost shot too, but he is pulled off the roof by the staff and falls backwards onto the asphalt. When...",Action
"The story has three themes which run concurrently through the film. A stagecoach carrying a rich widow home to her family's hacienda. A war party of Indians, returning to their village; and two fur traders waiting to meet a different group of Indians with whom they trade. The war party attacks the other Indians, and kills their leader, who owns a magnificent white stallion. White Bull attempts to capture the horse, but it is too quick, and makes off carrying the dead chief. Pike and Henry wait in vain for the traders, and are then attacked themselves by the war party. Henry is killed, the Indians take the trader's horses, and Pike is left alone with only a mule. Travelling alone, he comes across the ritual funeral of the dead chief. He saves the white stallion from ritual slaughter, abandons his mule, and continues his travels. The Medicine Man conducting...",Action
"The Afghan kingdom of Baharistan is ruled by a just and kind Sultan Ali Rizwan Mohhamad Dokeer Khan . All is well in the land except that the Sultan seemingly can't have children. An evil devil-worshipping Vazir seeks to usurp the throne, revive his fauladi shaitan , and take over the world. The Vazir instructs his maids to strangle every child born to the Sultan. Finally, however, a spark of divine intervention renders the next newborn son immune to the poisons and strangulations administered by the maids. This Shehezada eventually becomes Ajooba . The Sultan and his wife Malika kick off celebrations throughout the land. The good court magician Ameer Baba , recently returned from his travels to the ""land of Hind"" , presents a magic sword to the Sultan. The Sultan thrusts it into a pillar , and Ameer Baba pronounces that it may be drawn out of the...",Action
"On September 27, 1941, Reinhard Heydrich, one of the most feared top officials of the Nazi Party, an architect of the Holocaust and Hitler's possible successor, is appointed ""Reichsprotektor"" of Bohemia and Moravia. As a result of his brutality and oppression he is also called ""The Butcher of Prague"" or ""The Blond Beast"". A squad of agents is selected, trained and then parachuted into Czechoslovakia. The team operated in Prague and planned the attack for about six months. The mission, Operation Anthropoid, is successfully executed in the capital on May 27, 1942 by means of an ambush, but almost fails at a crucial moment when one of their Sten guns jams and they are obliged to use a grenade instead. Heydrich eventually succumbs to his wounds, but during the frenzied aftermath, the group is betrayed by one of its members and they are cornered in a church crypt in Prague....",Action
"Story of a boy named Ibu during Liberation war of Bangladesh in 1971. He lives in a small town. The main character Rashed suddenly appears at his school. Rashed, the name was given by the class teacher at the first day at school. In 1971, when other students are not conscious about the liberation movement Rashed could understand the matters. Rashed started to motivate others to make understand those matters. One day, Pakistani army attacks the town and Rashed observes the battle. He and his friends starts to help Muktibahini. A member of Muktibahini they know,named Shafiq, gets caught at battle. Rashed and his friends takes him out from death. One day, Rashed and his friends get detached from each other. Ibu and his family leaves the town for a safe place over the border. But, Rashed stays and gets involved with the war. The friends meet again after the...",Action
"The educational film aims to help the ""people back home"" save paper, bones and metal, for the war effort.Salvage with a Smile - YouTubeSalvage with a Smile - YouTube",Action
"Achuthan Nair , an honest and sincere police constable, has a loving family consisting of his wife Ammu , two sons and two daughters. Achuthan Nair wants his elder son Sethumadhavan to be a police inspector. He shares a cordial and amiable relation with his son. Sethu is engaged to Devi , the daughter of Krishnan Nair , his maternal uncle. One day, for charging a petty case against the son of MLA, Achuthan Nair is transferred to Ramapuram police station. The family shifts to Ramapuram. Keerikadan Jose , a hardcore criminal, rules the market of Ramapuram by extorting money from all traders. One day, Achuthan Nair tries to intervene in a scuffle and he is beaten brutally by Keerikadan. Sethu, who was in the market, witnesses it and to save his father by attacking Keerikadan and his goons. Keerikadan gets severely wounded and is admitted in hospital. The entire...",Action
"The ESU Timberwolves are entering a season with high expectations after two disappointing seasons. The film begins with a loss to end the prior season, along with the school president putting pressure on Sam Winters to win this coming season or face a possible firing. Sophomore quarterback Joe Kane spends the Christmas bowl season with his alcoholic father and brother, while junior NFL prospect Alvin Mack gives his mother a present to go with the new house she will soon have when he turns pro. The film then follows the recruiting of Darnell Jefferson , a highly rated running back, and his eventual commitment to ESU. During the recruiting phase, Jefferson is given a tour of the campus by Autumn , a beautiful young student, and the two bond immediately, sharing a kiss before they part ways. The film then cuts to the following fall, as football season is about...",Action
"This film takes place during the events of Get Smart. Bruce and Lloyd have been testing out an invisibility cloak, but during a party, Maraguayan agent Isabelle steals it for El Presidente. Now, Bruce and Lloyd must find the cloak on their own because the only non-compromised agents, Agent 99 and Agent 86 are in Russia. With no field experience, Bruce and Lloyd must learn how to get a girl and infiltrate the Maraguayan Embassy to prevent Maraguay from selling the cloak to KAOS. The film includes a cameo by Anne Hathaway as Agent 99 , Terry Crews as Agent 91, and a brief appearance by Patrick Warburton as the android Hymie. Larry Miller plays a dual role as the ""Underchief"" in charge of the R&D department, and his twin brother, a CIA official . The closing credits incorporate bloopers and deleted scenes.",Action
"The film deals with student strength. Shiva , a college student is leading a happy go lucky life, having a nice time with his friends, until two of his friends fall in love. Facing stiff opposition from the girl’s father, all the friends get together and get the couple married. But the married girl get gang raped in the college campus, by Madan, the son of a politician. Unable to get justice in court, Shiva along with his friends takes it upon himself to avenge his friend’s death, but pays a very heavy price. His mother will be killed by the politician and they lose at court. Now Shiva must get justice in his own way. He can kill Mahan and his father.",Action
"Littlefoot and his friends are constantly being bullied and browbeaten by three teenage dinosaurs: Hyp, a Hypsilophodon; Nod, a Nodosaurus; and Mutt, a Muttaburrasaurus. However, when a shower of flying rocks impacts near the Great Valley and causes a rock slide in the Mysterious Beyond, which blocks the water supply of the Great Valley, Hyp, Nod, and Mutt are no longer the biggest worry of Littlefoot and his friends. The increasing lack of water causes conflicts between the inhabitants of the Great Valley, who have lived in relative peace and harmony until this event. When the interspecies situation becomes worse and worse, Littlefoot and the others set out to find water, whereby to keep the peace in the Great Valley. They are pursued by Hyp and his cohorts. When Littlefoot and the others find a small lake, the teenagers emerge and claim the waterhole for themselves, demanding that Littlefoot and...",Action
"In ancient times, the gods Zeus, Poseidon, and Hades betrayed their parents, the Titans, and banished them to the Underworld with the help of the Kraken, a sea monster born of Hades. The gods divided the Universe among themselves; Zeus took the skies, Poseidon took the seas, and Hades, tricked by Zeus, was left with the Underworld. The gods created the mortals, whose faith in them assured their immortality; however, as time passed, mortals began to question them. Years later, ""Perseus"" is fishing with his family when they witness soldiers from the city of Argos destroying a statue of Zeus. The gods, infuriated at this desecration, unleash the Furies - flying beasts who pursue mortal sinners. The furies attack the soldiers and destroy the fishing vessel. Only Perseus survives and is found by a group of soldiers from Argos. Perseus is brought before King Cepheus and Queen Cassiopeia who are...",Action
"A Senate Armed Services Committee interviews a candidate for the position of Secretary of the Navy. Senator Lillian DeHaven from Texas criticizes the Navy for not being gender-neutral. Behind the curtains, a deal is struck: If women compare favorably with men in a series of test cases, the military will integrate women fully into all branches of the Navy. The first test is the training course of the U.S. Navy Combined Reconnaissance Team . Senator DeHaven hand-picks Lieutenant Jordan O'Neil , because she is physically more feminine than the other candidates. To make the grade, O'Neil must survive a grueling selection program in which almost 60 percent of all candidates wash out, most in the first week . The enigmatic Command Master Chief John James Urgayle runs the brutal training program that involves 20-hour days of tasks designed to wear down recruits' physical and mental strength, including pushing giant ship...",Action
"The film begins with scenes of life in Wyoming Territory, where new settlers join the cattle business by finding stray, unbranded cattle, called ""mavericks"", on public land. The narrator explains that established ranchers use the so-called ""maverick law"" against the settlers, while ""sharp-witted men"" take advantage of the resulting conflict. After this introduction, Jim Averell is shown exhorting settlers to elect him governor to defend them against cattle barons such as Reece Duncan . When Averell's speech is over, the famous stage performer Kate Maxwell arrives with a group of showgirls. Averell has arranged for Kate to operate both a cattle-buying business and a saloon. Duncan warns Kate that he will kill anyone caught stealing cattle on his land, and Sheriff Stan Blaine warns her of an impending war over the cattle business. The tension between Duncan and the settlers rises as the settlers search for mavericks on Duncan's land...",Action
"The film opens with Jake Raye as he fights Mickey Sheehan in a pro-kickboxing bout. The movie opens as they enter the fifth Round of the Lightweight Championship Match. Jake delivers Mickey a lightning fast kick to the throat in the middle of the sixth round, instantly killing him. Seeing what he had done, he decides to give up kickboxing once and for all. A year later, a friend and manager Vinny Petrello asks him for a favor to travel to Manila and bail him out of trouble with a guy named Su. Although Jake's evening with a prostitute is interrupted, he agrees to help his friend in need. Jake Raye travels to Manila, and meets up with local fighters John Jones , Sal Taylor , Manny Rivera , and Tobo Casenerra . He also meets up with Dieter , the head of the Dojo. Thugs attack Jake, and is...",Action
"{{plot}} The Virginia Brothers, a team of acrobats, along with a dozen of Stengel's henchmen, rob the town bank. The acrobat are able to jump into the banks uppermost window and kill all the guards. The robbers then load the town safe into a wagon and escape with 100,000 dollars. Just as they leave the town, Sabata rides in. Outside the town saloon, Carrincha has been tossed into the street for not having any money. Seeing his friend Alley Cat, Carrincha yells at him, and starts to rant about how dull civilian life is, then seeing Sabata , continues about how his Civil War medal couldn't even be traded for a bottle of whiskey. Sabata, sympathetic, takes out a silver dollar and tosses it into Carrincha's hand. Carrincha happily re-enters the saloon and buys a drink. Sabata enters the saloon, and notices that an old man is being cheated out...",Action
"Tanya is a female model who lives with her boyfriend Lobo , a surrealist painter who is extreamly violent. Subjected to Lobo's constant abuse, Tanya dreams of escaping to a desert island, which comes true. The only other being on her island is an enormous blue-eyed man-ape (performed by [[Don McLeod who was born from one of Lobo's paintings. Tanya befriends the beast and nicknames him ""Blue"", she soon begins to feels a strange attraction to the creature, which makes Lobo increasingly jealous in the real world. He becomes determined to capture this monster and put it in a cage.",Action
"The movie opens with a distressed woman being chased through a tropical forest by an unknown pursuer. It is soon revealed that the woman is attempting to escape imprisonment at the hands of Frank Lane, an American running an illegal child sex ring operation in Brazil. Upon being recaptured, she is taken back to Lane's home and executed in front of the other slaves, as punishment for her actions. Meanwhile, kickboxing champion David Sloan and his trainer Xian arrive in Rio de Janeiro for an exhibition bout. Though Xian is mostly interested in training for the upcoming fight, Sloan dismisses the idea in favor of relaxing in the city. While eating lunch, their camera is suddenly stolen by a young thief, and Sloan immediately gives chase. After fending off a group of drunken assailants, he catches up to the boy who then brandishes a knife, but Sloan easily disarms him...",Action
"The story revolves around a teenage boy named Al Haddin, nicknamed ""Aladdin"", who is living with his widowed mother Janet and his alcoholic grandfather Jeremiah in Miami, Florida. He and his family live in poverty since his father's untimely demise; his mother slaves away in the nightclub of Monti Siracusa, a local mobster boss who runs a city-wide protection racket. Jeremiah gravely contributes to this situation, as he blows the little money Janet makes on alcohol and horse races. Al has to work part-time in an antique shop to support his family as best he can. One day, Al's boss brings an old lamp, which a fisherman acquaintance of his has just salvaged from the ocean, to the store and orders Al to polish it. As Al rubs on the lamp, a genie - the very one from Aladdin's tale - suddenly appears before him and proclaims him his new...",Action
"The movie is set in a remote village in Dharmapuri, known for making dolls from clay. It is the livelihood of people in the village. A Mokkaiyan along with his sons Silandhy Karuppu and Peruchali Karuppu grab the land and give it on a lease for a local MLA Konda Mookan. Humiliated and agitated, the villagers decide to put an end to their shenanigans. They set off in search of Sivaraman, son of Meiyappan , who once strived for the welfare of the village and later forced to flee the village due to Mokkaiyan's family. They finally spot Sivaraman in Rameshwaram, where he works tirelessly for the uplift of the people. They convince him to return to the village and teach Mokkaiyan and his family a lesson. Enters Sivaraman on a mission. He comes across Valarmathy and falls in love with her. Meanwhile, he also embarks on a mission to...",Action
"Set in the English village Penny Green in 1939, the film focuses on Mark Sabre, an author and publisher who is unhappily married to Mabel, a humorless and cold woman who usually spends her days gossiping with the townspeople. When Mark finds out his former sweetheart Nona Tybar is returning to Penny Green, Mark, unlike his wife, is delighted. Nona is married to a man named Tony Tyber, but is still in love with Mark. Mabel is aware of Mark's feelings for Nona, and encourages him to spend time with her, thinking he will eventually decide with whom he wants to spend his life. As the war starts, Tony is called into the military, while Mark attempts to join up but a doctor finds a heart condition and prevents him. Nona leaves Penny Green in order to join the Women's Auxiliary Air Force. Life becomes quiet for Mark, until Effie...",Action
"Jess Wade, a former member of a gang of outlaws led by Vince Hackett, is tricked into believing that an old flame of his and Vince's, Tracy Winters, wanted to meet him in a seedy Mexican saloon. Jess later sees Billy Roy Hackett, Vince's younger brother, summoning Vince and the other members of the gang into the saloon. Jess, realizing he was set up, orders the bar patrons to leave as a shoot out later ensues. After making a break for the door Jess is later stopped by another gang member, Gunner, and is trapped. Forcing Jess to relinquish his gun and to go with them to their hideout in the mountains, Vince later tells him that the gang had stolen a gold-plated cannon that was used by Emperor Maximilian in his ill-fated fight against popular Mexican leader Benito Juarez. After explaining to him about them stealing the cannon, Vince...",Action
"Charkavarthy , has two sons Giri and Ranjith . Giri is the younger one, who is the village Romeo and in love with his cousin Subbalakshmi . Ranjith turns into an ACP and meets his match Swathi . GK is a member of the parliament, whose anti-social activities are contained by Ranjith. Also, Chakravarthy who spends 14 years in prison after falsely charged by GK in a case is released. GK plans to take revenge on the family. But, the person who comes to the rescue of the family and the people threatened by the villain’s plans is Giri. The story is on how he ends as winner, by saving lives and winning respect from his father. This movie was dubbed into Hindi as ""Vijaypath-The Mission"".",Action
"Judge Somnath lives with his wife, three sons, and a daughter. Two of his sons, Vikram and Mohan are married, while his daughter, Kaamna, and youngest son, Ravi, are of marriageable age. Somnath had wanted his sons to be a doctor, police officer, and a Judge. While Vikram is a surgeon, Mohan's a Police Inspector, & Ravi is now studying law and on his way to become a lawyer and then a Judge like his dad. This family does have a dark secret. Ravi is prone to losing his temper, so much so that he gets out of control, and has killed someone in his childhood. When Kaamna gets raped, the family are reluctant to tell Ravi. When they do they do convince him to control himself, while Mohan gets an arrest warrant for Vinod, Kaamna's molester. Things do not go smoothly in court as the matter is put off...",Action
"Vallarasu is the deputy commissioner of police and a very honest Police Officer who has arrested Wasim Khan a terrorist from Pakistan.He is married and has wife Anjali and 2 children. Vallarasu kills his senior Police officer on knowing who is his senior but who, he realises, is hand-in-glove with terrorists and Anti-National elements. Vallarasu takes the help of some youths who are disillusioned by their inability to join the police force to fight the terrorist and other criminal elements.Vallarasu fights R.Kandasamy a rich man who is behind the attempts to destabilise the country.He deals firmly with caste leaders.",Action
"Stroker Ace is a popular race car driver from Waycross, Georgia, and , a three-time champion, on the NASCAR circuit. An all-or-nothing man, he wins if he does not crash. He is arrogant and pompous, with no regard for the business side of his racing team. He also has an on-track, season-long rivalry with ambitious young driver Aubrey James . When he runs afoul of his current sponsor, Jim Catty of Zenon Oil, by dumping a load of wet concrete on him, he has to find a new one. Fried-chicken mogul Clyde Torkel, along with his chauffeur, Arnold , and newly appointed director of marketing and public relations, Pembrook Feeny , convince Stroker and his chief mechanic, Lugs Harvey, to sign up with him. Overlooking his contract by not reading its specifics, Stroker begins a new life as the commercial face for the Chicken Pit fast-food restaurants. His contract provves...",Action
"Sethumadhavan is released after serving an imprisonment of seven years in central jail for murdering Keerikadan Jose, a hardcore criminal. Though it was an accident, which he did to save his life, the society is not ready to accept it. For them, he is now a hardcore criminal, who had killed someone who ruled the streets for long years. Up on release, Sethu visits the medical college to meet his younger brother who is doing a course in medicine. But his brother responds coldly and openly ask him not to make any visit as it may hurt his reputation. Sethu realizes that the world around him has undergone a severe change. At home, though his mother is too happy to see him, his father Achuthan Nair is not too keen to have him at home. Achuthan Nair, who always wanted Sethu to be a police inspector broke down completely after...",Action
"Noah Cruise is a naturally talented basketball player who receives an athletic scholarship to UCLA after the death of his mother where he moves to the suburbs. Although he is a skilled player, Cruise wishes to use his scholarship to obtain a career in the medical field. He has to deal with external forces that come with his talent, most notably pushy sports agent Vaughn and his two best friends Tech and Up . Vaughn pressures Cruise to pursue a career in professional sports, while Tech, also a basketball prodigy, dreams of beating his rival Jewelz in a streetball competition. Tech is also struggling to obtain his GED to move past his Detroit surroundings and an assault charge that he took to protect Cruise. The friends meet two women along the way, Vanessa and Eboni , and they head to Los Angeles on a trip that will change their lives...",Action
"Drifter William Bonney , known as 'Billy the Kid' loses his horse and is befriended by cattle boss Tunstall, known as 'The Englishman', who is soon murdered by corrupt rival cattlemen led by the local sheriff. Bonney's plan for revenge, hunting down and killing all responsible via provoking gunfights endangers not only his surviving friends, but the territorial amnesty proclaimed by New Mexico governor Lew Wallace, causing his former friend Pat Garrett to finally become a sheriff and hunt him down. Meanwhile groupie Moultrie sends material fictionalizing and lionizing him back East, where it is turned into dime novels that make Billy the Kid a legend, causing Billy to confront Moultrie and throw his kit of materials in his face in rejection, ending in Moultrie betraying him to Garrett to eliminate the embarrassing real-life character so that his fictionalized version won't be disturbed. This leads to the finale where Garrett...",Action
"Gerald Meldrick and Anya von Duren are a pair of rival jewel thieves at large in India. Both parties are after the same prize, a priceless diamond owned by the Duchess of Beltravers . To inveigle their way into the Duchess' confidence, Gerald poses as a Scotland Yard detective, while Anya pretends to be an aristocrat. After working at cross purposes, they decide to team up, keeping one step ahead of a diligent police inspector and mercenary freighter captain Chang . Both Gerald and Anya betray the nobler sides of their natures in the end, fighting in a pitched battle in China against the invading Japanese army.",Action
"United States Navy Rear Admiral Matt Sherman , ComSubPac in 1959, boards the pre- World War II-era American submarine USS Sea Tiger prior to its departure for the scrapyard. The first commanding officer of Sea Tiger, Sherman sits in his former stateroom and begins reading his personal logbook, starting a flashback. A Japanese air raid sinks Sea Tiger while she is docked at the Cavite Navy Yard in the Philippines on 10 December 1941. Lieutenant Commander Sherman and his crew begin repairs, hoping to sail for Darwin, Australia before the Japanese overrun the port. Lieutenant Nick Holden is reassigned to Sea Tiger despite lacking any submarine training or experience. He and Sherman clash over Holden's attitude toward the Navy; Holden became a naval officer not out of patriotism but to escape poverty and find a wealthy spouse, and is engaged to such a woman. Holden demonstrates great skill as a...",Action
"During the French Revolution, the Scarlet Pimpernel, , who is really Sir Percy Blakeney in disguise, risks his life to rescue French noblemen from the guillotine and take them across the English Channel to safety. As cover, Sir Percy poses as a fop at Court, and curries favor with the Prince of Wales by providing advice about fashion, but secretly he leads The League, a group of noblemen with similar views. Chauvelin, French Ambassador of the Revolution to England wants to find out who the Pimpernel is and bring him in to meet his fate under French justice. When evidence points to Sir Percy, Chauvelin blackmails Blakeney's wife, Marguerite by threatening to expose her criminal brother Armand , but Marguerite doesn't believe her husband is capable of being the daring Pimpernel.",Action
