description,genre
A hero saves the world from alien invaders using martial arts,Action
An elite soldier goes on a dangerous rescue mission behind enemy lines,Action
A detective chases a criminal through the streets of a major city,Action
A group of mercenaries must stop a nuclear threat before time runs out,Action
A former spy comes out of retirement to take down an arms dealer,Action
An undercover cop infiltrates a dangerous gang to bring them down,Action
A martial artist enters an underground fighting tournament for revenge,Action
A bank heist goes wrong and turns into a violent standoff with police,Action
A bounty hunter tracks a fugitive across the desert,Action
Survivors fight their way through a city overrun by armed rebels,Action
A pilot must land a damaged plane while being pursued by fighter jets,Action
An archaeologist battles treasure hunters in ancient ruins filled with traps,Action
A funny story about friends who get lost on a road trip,Comedy
A man accidentally becomes the mayor of a small town and creates chaos,Comedy
Two rival neighbors compete in an escalating prank war,Comedy
A group of coworkers plan an elaborate scheme to get a day off,Comedy
A teenager tries to impress a girl but everything goes hilariously wrong,Comedy
A family reunion turns into a series of embarrassing disasters,Comedy
An awkward man joins a dance class and discovers unexpected talent,Comedy
A pet parrot causes hilarious misunderstandings at a dinner party,Comedy
Two best friends start a business with zero experience and funny results,Comedy
A woman pretends to be rich to attend an exclusive event,Comedy
A retired teacher becomes an accidental internet celebrity,Comedy
A clumsy chef competes in a prestigious cooking competition,Comedy
A romantic love story between two people from different backgrounds,Romance
Two childhood friends reunite after years and fall in love,Romance
A writer falls in love with the subject of her biography,Romance
A couple navigates a long distance relationship across continents,Romance
Two strangers meet on a train and share a life changing conversation,Romance
A baker and a florist fall in love while preparing for a wedding,Romance
A musician writes songs inspired by a mysterious admirer,Romance
Two rival bookstore owners slowly fall for each other,Romance
A doctor falls in love with a patient who changes her perspective on life,Romance
A photographer and a traveler share a brief but intense connection,Romance
Love blossoms between two people stuck together during a snowstorm,Romance
A couple tries to rekindle their relationship during a vacation,Romance
A detective solving a series of mysterious disappearances in a small town,Thriller
A journalist uncovers a dangerous conspiracy within the government,Thriller
A woman realizes her new neighbor is hiding a dark secret,Thriller
A kidnapping victim must outsmart the captor to escape,Thriller
A lawyer discovers that her client is far more dangerous than expected,Thriller
A family moves into a new house and finds evidence of a previous crime,Thriller
An anonymous caller threatens to expose secrets unless demands are met,Thriller
A witness to a crime must survive the night while being hunted,Thriller
A psychologist begins to suspect one of her patients is a serial killer,Thriller
A hacker discovers a plot to crash the global financial system,Thriller
A prisoner plans an elaborate escape from a maximum security facility,Thriller
A detective races against time to find a missing child before midnight,Thriller
A spaceship crew discovers a mysterious signal from an unknown planet,Science Fiction
Scientists create artificial intelligence that develops its own consciousness,Science Fiction
A time traveler tries to fix the past but keeps making things worse,Science Fiction
Humanity builds a colony on Mars but faces unexpected alien life,Science Fiction
A virtual reality world becomes indistinguishable from the real world,Science Fiction
Robots designed to serve humans begin questioning their own existence,Science Fiction
A wormhole opens connecting Earth to a parallel universe,Science Fiction
After a solar flare destroys technology civilization must start over,Science Fiction
A geneticist discovers a way to enhance human abilities with side effects,Science Fiction
An astronaut stranded on a distant moon must find a way to survive,Science Fiction
Scientists discover a way to upload human consciousness into machines,Science Fiction
A teleportation experiment goes wrong sending people to random locations,Science Fiction
A group of friends explore a haunted mansion on a dare,Horror
A family moves to an isolated farmhouse plagued by supernatural events,Horror
Strange things happen after a cursed antique is brought into a home,Horror
A camping trip turns deadly when something lurks in the dark forest,Horror
A babysitter discovers the children she is watching are not what they seem,Horror
A group of tourists gets trapped in an abandoned asylum,Horror
A student starts receiving messages from someone who died years ago,Horror
A mirror in an old house shows terrifying visions of the future,Horror
A town is terrorized by a creature that only appears during fog,Horror
Residents of an apartment building experience increasingly disturbing events,Horror
A photographer develops film that reveals ghostly figures in every picture,Horror
A doll in an antique shop seems to move on its own at night,Horror
A young orphan discovers she has magical powers and enters a hidden school,Fantasy
A dragon rider must unite warring kingdoms to face an ancient evil,Fantasy
A cursed prince searches for a way to break the spell before time runs out,Fantasy
A group of adventurers embark on a quest to find a legendary artifact,Fantasy
A fairy tale kingdom is threatened by a sorcerer who steals memories,Fantasy
A warrior discovers a sword that grants incredible power at a terrible cost,Fantasy
An enchanted forest begins to die and only a young healer can save it,Fantasy
A thief with magical abilities is recruited to steal from a powerful wizard,Fantasy
A young girl befriends a mythical creature hidden in the mountains,Fantasy
Two siblings discover a portal to a world where dreams become real,Fantasy
A chosen one must master elemental magic to defeat a dark lord,Fantasy
An alchemist searches for the secret to eternal life in a mystical land,Fantasy
A family dealing with emotional challenges after a sudden loss,Drama
A teenager struggles with identity and belonging in a new school,Drama
A retired musician reflects on the choices that defined his life,Drama
A single mother works multiple jobs to give her children a better future,Drama
A war veteran returns home and tries to rebuild relationships,Drama
Two brothers separated at birth meet as adults and confront their past,Drama
A teacher in a troubled school inspires students to believe in themselves,Drama
An aging parent and adult child navigate their complicated relationship,Drama
A journalist covers a story that forces her to confront her own trauma,Drama
A community comes together to rebuild after a devastating natural disaster,Drama
A former athlete copes with life after a career ending injury,Drama
A young artist sacrifices everything to pursue a dream against all odds,Drama
